url,college,from,dob,weight,to,active,position,height
http://www.basketball-reference.com/players/a/alexajo01.html,West Virginia University,2009,26-12-1986,230,2010,False,F,6-8
http://www.basketball-reference.com/players/a/alexavi01.html,Iowa State University,1992,31-8-1969,265,2002,False,C-F,6-9
http://www.basketball-reference.com/players/a/alforst01.html,Indiana University,1988,23-11-1964,183,1991,False,G,6-2
http://www.basketball-reference.com/players/a/allenbi01.html,New Mexico State University,1968,NA,205,1968,False,C-F,6-8
http://www.basketball-reference.com/players/a/allenbo01.html,Marshall University,1969,17-7-1946,205,1969,False,F,6-9
http://www.basketball-reference.com/players/a/allenje01.html,University of Pennsylvania,1996,28-1-1973,184,1997,False,G,6-4
http://www.basketball-reference.com/players/a/allenla01.html,Temple University,2012,4-2-1989,255,2016,True,F-C,6-9
http://www.basketball-reference.com/players/a/allenlu01.html,"University of California, Los Angeles",1970,26-9-1947,175,1979,False,G,6-2
http://www.basketball-reference.com/players/a/allenma01.html,Villanova University,2002,27-6-1978,255,2011,False,F,6-10
http://www.basketball-reference.com/players/a/allenra01.html,Florida State University,1989,26-1-1965,220,1990,False,F,6-8
http://www.basketball-reference.com/players/a/allenra02.html,University of Connecticut,1997,20-7-1975,205,2014,False,G,6-5
http://www.basketball-reference.com/players/a/allento01.html,Oklahoma State University,2005,11-1-1982,213,2016,True,G-F,6-4
http://www.basketball-reference.com/players/a/allenwi01.html,University of Miami,1972,8-2-1949,230,1972,False,F,6-6
http://www.basketball-reference.com/players/a/allisod01.html,"University of Nevada, Las Vegas",1972,2-10-1949,195,1972,False,F,6-6
http://www.basketball-reference.com/players/a/allrela01.html,Weber State University,2008,2-2-1981,250,2008,False,C,6-11
http://www.basketball-reference.com/players/a/allumda01.html,"University of California, Los Angeles",1981,12-9-1958,220,1981,False,F,6-9
http://www.basketball-reference.com/players/a/almonmo01.html,Rice University,2008,2-2-1985,225,2012,False,G,6-6
http://www.basketball-reference.com/players/a/alstode01.html,Duquesne University,1995,20-8-1972,225,1997,False,F,6-11
http://www.basketball-reference.com/players/a/alstora01.html,"California State University, Fresno",2000,24-7-1976,171,2010,False,G,6-2
http://www.basketball-reference.com/players/a/alumape01.html,Liberty University,1999,23-4-1973,260,1999,False,C,6-10
http://www.basketball-reference.com/players/a/amaecjo01.html,Pennsylvania State University,1996,26-11-1970,270,2003,False,C-F,6-10
http://www.basketball-reference.com/players/a/amayaas01.html,Southern Illinois University,1996,23-11-1971,230,1997,False,F,6-8
http://www.basketball-reference.com/players/a/aminual01.html,Wake Forest University,2011,21-9-1990,215,2016,True,F,6-9
http://www.basketball-reference.com/players/a/amundlo01.html,"University of Nevada, Las Vegas",2007,7-12-1982,220,2016,True,F,6-9
http://www.basketball-reference.com/players/a/anderbo01.html,Michigan State University,1960,24-8-1937,200,1960,False,F-G,6-3
http://www.basketball-reference.com/players/a/anderch01.html,Blinn College,2002,7-7-1978,245,2016,True,F-C,6-10
http://www.basketball-reference.com/players/a/anderda03.html,NA,2010,23-6-1980,245,2011,False,C,6-11
http://www.basketball-reference.com/players/a/anderal01.html,Michigan State University,2006,16-10-1982,220,2015,True,G-F,6-6
http://www.basketball-reference.com/players/a/anderan01.html,Canisius College,1968,6-7-1945,184,1970,False,G,6-2
http://www.basketball-reference.com/players/a/anderan02.html,University of Memphis,2010,5-6-1985,215,2010,False,G,6-6
http://www.basketball-reference.com/players/a/andercl01.html,Saint Joseph's University,1968,7-9-1944,200,1971,False,G-F,6-2
http://www.basketball-reference.com/players/a/anderda01.html,Augsburg College,1968,15-2-1943,230,1969,False,C,6-10
http://www.basketball-reference.com/players/a/anderda02.html,University of Southern California,1975,1-1-1951,185,1976,False,G,6-2
http://www.basketball-reference.com/players/a/anderde01.html,University of Kentucky,1998,18-7-1974,194,2008,False,G,6-5
http://www.basketball-reference.com/players/a/anderdw01.html,University of Southern California,1983,28-12-1960,185,1983,False,G,6-3
http://www.basketball-reference.com/players/a/anderer01.html,Indiana University,1993,26-5-1970,220,1994,False,F,6-9
http://www.basketball-reference.com/players/a/andergr01.html,University of Houston,1988,22-6-1964,230,1998,False,F-C,6-10
http://www.basketball-reference.com/players/a/anderjj01.html,Bradley University,1983,23-9-1960,195,1985,False,F,6-8
http://www.basketball-reference.com/players/a/anderja01.html,Oklahoma State University,2011,25-3-1989,213,2016,True,G-F,6-6
http://www.basketball-reference.com/players/a/anderje01.html,West Virginia University,1976,9-10-1953,195,1977,False,G,6-5
http://www.basketball-reference.com/players/a/anderju01.html,University of Virginia,2016,19-11-1993,228,2016,True,G,6-6
http://www.basketball-reference.com/players/a/anderke01.html,Georgia Institute of Technology,1992,9-10-1970,168,2005,False,G,6-0
http://www.basketball-reference.com/players/a/anderki01.html,University of Missouri,1979,12-5-1955,200,1979,False,F,6-7
http://www.basketball-reference.com/players/a/anderky01.html,"University of California, Los Angeles",2015,20-9-1993,230,2016,True,G-F,6-9
http://www.basketball-reference.com/players/a/andermi01.html,Drexel University,1989,23-3-1966,184,1989,False,G,5-11
http://www.basketball-reference.com/players/a/anderni01.html,University of Illinois at Urbana-Champaign,1990,20-1-1968,205,2002,False,F-G,6-6
http://www.basketball-reference.com/players/a/anderri01.html,"University of California, Santa Barbara",1983,19-11-1960,240,1990,False,F-C,6-10
http://www.basketball-reference.com/players/a/anderro01.html,"California State University, Fresno",1985,15-10-1958,215,1994,False,F-G,6-7
http://www.basketball-reference.com/players/a/anderry01.html,University of California,2009,6-5-1988,240,2016,True,F,6-10
http://www.basketball-reference.com/players/a/andersh01.html,University of Georgia,1997,31-12-1973,208,2006,False,F-G,6-6
http://www.basketball-reference.com/players/a/anderwi01.html,University of Georgia,1989,8-1-1967,190,1997,False,G-F,6-7
http://www.basketball-reference.com/players/a/anderwa01.html,Creighton University,1970,11-1-1946,220,1970,False,C-F,6-7
http://www.basketball-reference.com/players/a/andrima01.html,NA,2006,12-3-1986,240,2006,False,C,7-2
http://www.basketball-reference.com/players/a/anieldo01.html,Missouri State University,1955,1-11-1930,190,1955,False,F,6-7
http://www.basketball-reference.com/players/a/anslemi01.html,University of Alabama,1990,8-2-1967,225,1992,False,F,6-7
http://www.basketball-reference.com/players/a/anstech01.html,NA,1998,1-1-1975,249,2000,False,C,7-0
http://www.basketball-reference.com/players/a/antetgi01.html,NA,2014,6-12-1994,222,2016,True,F-G,6-11
http://www.basketball-reference.com/players/a/antetth01.html,NA,2016,17-7-1992,205,2016,True,F,6-7
http://www.basketball-reference.com/players/a/anthoca01.html,Syracuse University,2004,29-5-1984,240,2016,True,F,6-8
http://www.basketball-reference.com/players/a/anthogr01.html,"University of Nevada, Las Vegas",1992,15-11-1967,176,2002,False,G,6-0
http://www.basketball-reference.com/players/a/anthojo01.html,"University of Nevada, Las Vegas",2008,9-8-1982,245,2016,True,C,6-9
http://www.basketball-reference.com/players/a/anticpe01.html,NA,2014,29-7-1982,260,2015,True,F,6-11
http://www.basketball-reference.com/players/a/applike01.html,Michigan State University,2016,13-2-1992,185,2016,True,G,6-1
http://www.basketball-reference.com/players/a/araujra01.html,Brigham Young University,2005,12-8-1980,280,2007,False,C,6-11
http://www.basketball-reference.com/players/a/arcenst01.html,Iowa State University,1962,17-2-1936,210,1962,False,F,6-4
http://www.basketball-reference.com/players/a/archiro01.html,University of Illinois at Urbana-Champaign,2003,29-3-1980,250,2004,False,F,6-11
http://www.basketball-reference.com/players/a/architi01.html,University of Texas at El Paso,1971,2-9-1948,150,1984,False,G,6-1
http://www.basketball-reference.com/players/a/ardji01.html,University of Cincinnati,1971,19-9-1948,215,1978,False,F-C,6-8
http://www.basketball-reference.com/players/a/arenagi01.html,University of Arizona,2002,6-1-1982,191,2012,False,G,6-3
http://www.basketball-reference.com/players/a/arizatr01.html,"University of California, Los Angeles",2005,30-6-1985,215,2016,True,F,6-8
http://www.basketball-reference.com/players/a/arizipa01.html,Villanova University,1951,9-4-1928,190,1962,False,F-G,6-4
http://www.basketball-reference.com/players/a/arlaujo01.html,Niagara University,1988,20-7-1965,230,1988,False,F,6-9
http://www.basketball-reference.com/players/a/armstbj01.html,University of Iowa,1990,9-9-1967,175,2000,False,G,6-2
http://www.basketball-reference.com/players/a/armstbo01.html,Michigan State University,1957,17-6-1933,220,1957,False,C-F,6-8
http://www.basketball-reference.com/players/a/armstbr01.html,Pepperdine University,2002,16-6-1980,188,2004,False,G,6-5
http://www.basketball-reference.com/players/a/armstcu01.html,Indiana University,1949,1-11-1918,170,1951,False,G-F,5-11
http://www.basketball-reference.com/players/a/armstda01.html,Fayetteville State University,1995,22-6-1968,170,2008,False,G,6-0
http://www.basketball-reference.com/players/a/armsthi01.html,University of Connecticut,2007,11-11-1984,235,2014,True,F-C,6-11
http://www.basketball-reference.com/players/a/armstta01.html,Duke University,1978,5-10-1955,175,1979,False,G,6-3
http://www.basketball-reference.com/players/a/arnelje01.html,Pennsylvania State University,1956,30-12-1933,220,1956,False,F,6-5
http://www.basketball-reference.com/players/a/arnetja01.html,University of Texas at Austin,1964,19-12-1938,175,1966,False,G,6-2
http://www.basketball-reference.com/players/a/arnzebo01.html,University of Notre Dame,1970,3-11-1947,205,1974,False,F,6-5
http://www.basketball-reference.com/players/a/arroyca01.html,Florida International University,2002,30-7-1979,202,2011,False,G,6-2
http://www.basketball-reference.com/players/a/arthuda01.html,University of Kansas,2009,25-3-1988,235,2016,True,F,6-9
http://www.basketball-reference.com/players/a/arthujo01.html,Tulane University,1970,15-8-1947,185,1970,False,G,6-4
http://www.basketball-reference.com/players/a/asikom01.html,NA,2011,4-7-1986,255,2016,True,C,7-0
http://www.basketball-reference.com/players/a/askewvi01.html,University of Memphis,1988,28-2-1966,210,1998,False,G-F,6-6
http://www.basketball-reference.com/players/a/askinke01.html,University of Alabama,1991,15-12-1967,197,1999,False,G-F,6-7
http://www.basketball-reference.com/players/a/asmondo01.html,Alliance College,1954,15-2-1928,185,1954,False,G,6-2
http://www.basketball-reference.com/players/a/athadi01.html,Indiana State University,1956,21-9-1931,190,1958,False,G,6-2
http://www.basketball-reference.com/players/a/atkinch01.html,University of South Florida,2000,14-8-1974,160,2010,False,G,5-11
http://www.basketball-reference.com/players/a/attleal01.html,North Carolina Agricultural and Technical State University,1961,7-11-1936,175,1971,False,G,6-0
http://www.basketball-reference.com/players/a/aubucch01.html,Michigan State University,1947,18-5-1916,137,1947,False,G,5-10
http://www.basketball-reference.com/players/a/augmost01.html,"University of Nevada, Las Vegas",1992,1-8-1968,205,2006,False,F-G,6-8
http://www.basketball-reference.com/players/a/augusdj01.html,University of Texas at Austin,2009,10-11-1987,183,2016,True,G,6-0
http://www.basketball-reference.com/players/a/augusja01.html,University of Illinois at Urbana-Champaign,2007,27-2-1984,235,2008,False,F,6-10
http://www.basketball-reference.com/players/a/austiis01.html,Arizona State University,1992,18-8-1969,255,2002,False,C,6-10
http://www.basketball-reference.com/players/a/austijo01.html,Boston College,1967,31-8-1944,170,1968,False,G,6-0
http://www.basketball-reference.com/players/a/austike01.html,Rice University,1984,15-7-1961,205,1984,False,F,6-9
http://www.basketball-reference.com/players/a/aventan01.html,Seton Hall University,1993,18-10-1969,235,2000,False,F,6-9
http://www.basketball-reference.com/players/a/averibi01.html,Pepperdine University,1974,22-7-1952,170,1978,False,G,6-1
http://www.basketball-reference.com/players/a/averywi01.html,Duke University,2000,8-8-1979,197,2002,False,G,6-2
http://www.basketball-reference.com/players/a/awtrede01.html,Santa Clara University,1971,22-2-1948,235,1982,False,C,6-10
http://www.basketball-reference.com/players/a/ayongu01.html,NA,2012,1-4-1985,250,2014,True,C,6-10
http://www.basketball-reference.com/players/p/pendeje02.html,Arizona State University,2010,29-4-1987,240,2016,True,F,6-9
http://www.basketball-reference.com/players/a/azubuke01.html,University of Kentucky,2007,16-12-1983,220,2012,False,G,6-5
